Item Code,Item Name,Item Group,Item category,Item Sub-Category,
COLU-2811,Column 2P 8FT Front Light Gen 2 (146x101x15x2 2615mm),Column,Prefab MMS,Column Gen 2,
COLU-1820,Column 1P 8FT Back Gen 2 (L-angle 2718mm),Column,Prefab MMS,Column Gen 2,
COLU-3623,Column 3P 6FT Back Heavy Gen 2 (240x120x20x3 2710mm),Column,Prefab MMS,Column Gen 2,
COLU-3613,Column 3P 6FT Front Heavy Gen 2 (240x120x20x3 2077mm),Column,Prefab MMS,Column Gen 2,
COLU-3622,Column 3P 6FT Back Medium Gen 2 (170x110x15x3 2710mm),Column,Prefab MMS,Column Gen 2,
COLU-3612,Column 3P 6FT Front Medium Gen 2 (170x110x15x3 2077mm),Column,Prefab MMS,Column Gen 2,
COLU-3621,Column 3P 6FT Back Light Gen 2 (130x90x15x3 2710mm),Column,Prefab MMS,Column Gen 2,
COLU-3611,Column 3P 6FT Front Light Gen 2 (130x90x15x3 2077mm),Column,Prefab MMS,Column Gen 2,
COLU-2623,Column 2P 6FT Back Heavy Gen 2 (190x120x20x2 2400mm),Column,Prefab MMS,Column Gen 2,
COLU-2613,Column 2P 6FT Front Heavy Gen 2 (190x120x20x2 2015mm),Column,Prefab MMS,Column Gen 2,
COLU-2622,Column 2P 6FT Back Medium Gen 2 (150x100x15x2 2400mm),Column,Prefab MMS,Column Gen 2,
COLU-2612,Column 2P 6FT Front Medium Gen 2 (150x100x15x2 2015mm),Column,Prefab MMS,Column Gen 2,
COLU-2621,Column 2P 6FT Back Light Gen 2 (130x85x15x2 2400mm),Column,Prefab MMS,Column Gen 2,
COLU-2611,Column 2P 6FT Front Light Gen 2 (130x85x15x2 2015mm),Column,Prefab MMS,Column Gen 2,
COLU-1620,Column 1P 6FT Back Gen 2 (L-angle 2126mm),Column,Prefab MMS,Column Gen 2,
RAFT-0333,Rafter 3P Jointer Heavy Gen 2 (175x50x3 200mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0332,Rafter 3P Jointer Medium Gen 2 (120x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0332,Rafter 3P Jointer Medium Gen 2 (125x50x3 200mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0331,Rafter 3P Jointer Light Gen 2 (116x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0332,Rafter 3P Jointer Medium Gen 2 (120x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0331,Rafter 3P Jointer Light Gen 2 (120x50x3 200mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0331,Rafter 3P Jointer Light Gen 2  (116x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0332,Rafter 3P Jointer Medium Gen 2  (120x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0333,Rafter 3P Jointer Heavy Gen 2 (170x48x3 220mm),Rafter Jointer,Prefab MMS,Rafter 3P Jointer,
RAFT-0323,Rafter 3P Bottom Heavy Gen 2 for Mono 540 range (180x55x15x2 3200mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0322,Rafter 3P Bottom Medium Gen 2 for Mono 540 range (130x55x15x2 3200mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0321,Rafter 3P Bottom Light Gen 2 for Mono 540 range (125x55x15x1.5 3200mm),Rafter,Prefab MMS,Rafter Gen 2,
MDCR-0064-PREMIER,580 Wp Mono Bifacial Topcon N-Type Non DCR-PREMIER,Non DCR,Module,Mono Bifacial Non DCR (all makes),
RAFT-0313,Rafter 3P Top Heavy Gen 2 for Mono 540 range (180x55x15x2 3000mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0312,Rafter 3P Top Medium Gen 2 for Mono 540 range (130x55x15x2 3000mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0311,Rafter 3P Top Light Gen 2 for Mono 540 range (125x55x15x1.5 3000mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0203,Rafter 2P Heavy Gen 2 for Mono 540 range (130x45x15x2 3910mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0202,Rafter 2P Medium Gen 2 for Mono 540 range (100x45x15x1.5 3910mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0201,Rafter 2P Light Gen 2 for Mono 540 range (90x45x15x1.2 3910mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0103,Rafter 1P Heavy Gen 2 for Mono 540 range (80x40x10x2 1611mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0102,Rafter 1P Medium Gen 2 for Mono 540 range (80x40x10x1.5 1611mm),Rafter,Prefab MMS,Rafter Gen 2,
RAFT-0101,Rafter 1P Light Gen 2 for Mono 540 range (80x40x10x1.2 1611mm),Rafter,Prefab MMS,Rafter Gen 2,
PURL-0303,Purlin x3 Heavy Gen 2 for Mono 540 range (1.5mmx3650mm),Purlin,Prefab MMS,Purlin Gen 2,
PURL-0203,Purlin x2 Heavy Gen 2 for Mono 540 range (1.5mmx2500mm),Purlin,Prefab MMS,Purlin Gen 2,
PURL-0302,Purlin x3 Medium Gen 2 for Mono 540 range (1.2mmx3650mm),Purlin,Prefab MMS,Purlin Gen 2,
PURL-0202,Purlin x2 Medium Gen 2 for Mono 540 range (1.2mmx2500mm),Purlin,Prefab MMS,Purlin Gen 2,
PURL-0301,Purlin x3 Light Gen 2 for Mono 540 range (1mmx3650mm),Purlin,Prefab MMS,Purlin Gen 2,
PURL-0201,Purlin x2 Light Gen 2 for Mono 540 range (1mmx2500mm),Purlin,Prefab MMS,Purlin Gen 2,
CCOP-0048-Repute Make,Flexible Hose Pipe - 25mm - 30m-Repute Make,Water Pipeline Accessories,Water Pipeline,Water Pipeline Accessories,
MDCR-0030-PREMIER,545 Wp Mono Bifacial Non DCR-PREMIER,Non DCR,Module,Mono Bifacial Non DCR (all makes),
FSDS-0012-HP Landmark,Zinc Plated C1022 Grade Self Drilling Screw 12x14x180-HP Landmark,SDS,Tin Shed MMS,SDS,
MDCR-0048-RAYZON,550 Wp Mono Bifacial DCR-RAYZON,DCR,Module,Mono Bifacial DCR (non Adani),
MDCR-0032-PREMIER,550 Wp Mono Bifacial Non DCR-PREMIER,Non DCR,Module,Mono Bifacial Non DCR (all makes),
CCOP-0075-Astral,CPVC Solvent WELDON 500 CTS - 946ml-Astral,Water Pipeline Accessories,Water Pipeline,Water Pipeline Accessories,
HDSC-0008,HDGI Strut Channel 40x40x2.0x5500mm,HDGI Strut Channel,Prefab MMS,HDGI Strut Channel,
EALA-0030,4 Spikes Conventional LA with SSE logo - 14.2mm Dia - 1 Mtr - 100 micron - 100mm hole distance,L A,Earthing & LA,Conventional LA,
MDCR-0009-Jinko,540 Wp Mono Non DCR-Jinko,Non DCR,Module,Mono Non DCR (all makes),
PURL-0056,Unidentified purlin,Purlin,Prefab MMS,Purlin,
NMTR-0036-Saviour,CT 800/5A Class 0.5S-Saviour,CT,Metering,CT,
FCTY-0038-Fibrograt,"FRP Walkway 310x25x3600, Mesh 38x75, Thickness 7mm/5mm, Yellow-Fibrograt",FRP Walkway,Prefab MMS,FRP Walkway,
